Req,X_Coor,Y_Coor,Arr
0,70,70,-1
1,194,45,1
2,194,45,3
3,73,59,6
4,38,179,10
5,194,45,14
6,144,156,14
7,73,59,21
8,194,45,25
9,73,59,28
10,73,59,33
11,73,59,36
12,144,156,39
13,144,156,45
14,122,117,48
15,122,117,57
16,38,179,63
17,113,77,65
18,194,45,68
19,122,117,68
20,194,45,70
21,113,77,91
22,73,59,104
23,38,179,104
24,44,31,110
25,122,117,118
26,194,45,122
27,122,153,124
28,29,37,125
29,122,117,127
30,122,117,128
31,44,31,131
32,49,160,132
33,122,153,135
34,122,153,177
35,144,156,179
36,73,59,180
37,122,117,184
38,122,153,187
39,113,77,198
40,144,156,200
41,29,37,203
42,144,156,217
43,113,77,220
44,44,31,231
45,144,156,236
46,144,156,240
47,29,37,247
48,122,117,248
49,144,156,266
50,29,37,267
51,29,37,268
52,122,117,270
53,38,179,281
54,113,77,283
55,194,45,290
56,73,59,291
57,73,59,293
58,122,153,293
59,113,77,295
60,122,153,295
61,113,77,311
62,122,117,317
63,38,179,317
64,122,153,322
65,122,117,324
66,73,59,325
67,49,160,326
68,29,37,326
69,144,156,327
70,144,156,331
71,73,59,335
72,73,59,336
73,49,160,341
74,44,31,343
75,194,45,365
76,44,31,371
77,49,160,374
78,49,160,375
79,38,179,379
80,44,31,379
81,113,77,381
82,44,31,391
83,29,37,393
84,194,45,399
85,38,179,400
86,38,179,406
87,44,31,409
88,44,31,417
89,122,117,422
90,73,59,430
91,122,117,438
92,44,31,440
93,49,160,441
94,38,179,443
95,73,59,456
96,122,117,461
97,49,160,461
98,73,59,466
99,38,179,469
100,44,31,470
101,29,37,477
