Max Distance From Depot
69
Req	X_Coor	Y_Coor	Arr
0	35	35	-1	
1	55	54	8	
2	19	21	11	
3	27	69	14	
4	56	37	15	
5	49	11	17	
6	62	77	25	
7	40	60	26	
8	56	37	37	
9	15	30	40	
10	50	35	51	
11	2	60	53	
12	45	65	64	
13	25	24	65	
14	42	7	73	
15	40	60	85	
16	15	77	85	
17	32	12	86	
18	30	5	90	
19	37	56	99	
20	20	65	102	
21	22	22	106	
22	35	40	108	
23	55	54	109	
24	47	47	114	
25	63	65	120	
26	36	26	127	
27	35	69	130	
28	55	20	139	
29	5	30	140	
30	15	60	144	
31	30	60	145	
32	41	37	146	
33	30	25	153	
34	20	20	154	
35	35	17	165	
36	55	20	176	
37	55	60	181	
38	26	35	190	
39	35	40	206	
40	57	29	210	
41	27	69	210	
42	22	27	218	
43	6	38	225	
44	53	43	225	
45	60	12	230	
46	35	40	237	
47	10	20	245	
48	31	52	246	
49	63	65	266	
50	15	60	270	
51	60	12	288	
52	61	52	295	
53	26	27	298	
54	15	60	326	
55	47	16	330	
56	12	24	332	
57	25	24	337	
58	27	43	338	
59	65	55	340	
60	40	25	341	
61	37	31	342	
62	25	21	345	
63	65	55	353	
64	11	14	356	
65	55	45	364	
66	20	40	367	
67	5	5	367	
68	15	30	386	
69	37	31	386	
70	30	5	392	
71	64	42	392	
72	30	25	397	
73	16	22	402	
74	27	69	412	
75	18	24	415	
76	25	21	422	
77	47	47	444	
78	47	47	446	
79	64	42	448	
80	31	52	454	
81	21	24	456	
82	24	58	459	
83	63	65	464	
84	25	30	470	
85	41	37	470	
86	11	31	473	
87	17	34	477	
