Req	X_Coor	Y_Coor	Arr
0	70	70	-1	
1	88	90	10	
2	10	26	12	
3	82	53	18	
4	10	55	21	
5	82	53	40	
6	83	56	40	
7	80	47	42	
8	80	47	44	
9	88	90	46	
10	80	50	50	
11	10	55	61	
12	83	55	64	
13	82	53	73	
14	80	50	81	
15	83	55	83	
16	83	56	88	
17	82	53	95	
18	82	53	97	
19	83	56	107	
20	40	40	112	
21	83	56	119	
22	88	90	120	
23	80	47	123	
24	40	40	125	
25	83	56	144	
26	80	47	146	
27	80	47	146	
28	80	47	158	
29	83	55	159	
30	80	50	166	
31	80	47	172	
32	83	56	178	
33	80	47	179	
34	80	47	181	
35	83	56	182	
36	80	50	184	
37	83	56	196	
38	10	55	197	
39	10	26	201	
40	80	47	207	
41	80	47	212	
42	10	55	226	
43	40	40	229	
44	80	47	234	
45	80	47	236	
46	82	53	236	
47	88	90	238	
48	88	90	239	
49	10	26	243	
50	88	90	246	
51	80	47	249	
52	88	90	257	
53	83	56	258	
54	80	47	266	
55	40	40	269	
56	80	47	270	
57	88	90	273	
58	83	55	274	
59	80	47	275	
60	80	47	277	
61	80	47	281	
62	80	50	283	
63	10	55	287	
64	82	53	288	
65	80	47	288	
66	10	26	297	
67	82	53	304	
68	83	55	305	
69	80	50	306	
70	10	26	331	
71	88	90	335	
72	40	40	335	
73	80	50	341	
74	80	47	342	
75	40	40	346	
76	80	47	350	
77	40	40	353	
78	88	90	354	
79	83	55	357	
80	40	40	357	
81	10	26	359	
82	82	53	362	
83	10	55	371	
84	80	50	372	
85	10	26	379	
86	80	50	383	
87	80	47	387	
88	10	55	397	
89	80	47	412	
90	80	47	414	
91	88	90	417	
92	10	55	417	
93	10	55	418	
94	82	53	429	
95	80	50	438	
96	80	50	440	
97	10	55	447	
98	83	55	449	
99	80	47	452	
100	10	26	454	
101	40	40	455	
102	80	50	457	
103	82	53	459	
104	10	26	461	
105	82	53	476	
