Req,X_Coor,Y_Coor,Arr
0,70,70,-1
1,38,179,5
2,144,156,8
3,49,160,22
4,194,45,25
5,73,59,33
6,113,77,34
7,73,59,55
8,38,179,57
9,73,59,61
10,38,179,62
11,49,160,70
12,38,179,77
13,73,59,101
14,44,31,101
15,122,117,104
16,122,153,105
17,144,156,106
18,38,179,107
19,144,156,108
20,122,117,122
21,144,156,129
22,194,45,130
23,144,156,140
24,144,156,145
25,49,160,149
26,49,160,161
27,49,160,164
28,122,117,167
29,113,77,170
30,49,160,177
31,113,77,178
32,38,179,178
33,122,117,204
34,49,160,207
35,194,45,208
36,113,77,208
37,29,37,213
38,194,45,216
39,38,179,219
40,122,153,220
41,194,45,225
42,73,59,226
43,122,153,229
44,194,45,238
45,122,153,242
46,122,117,243
47,122,153,244
48,73,59,250
49,122,153,263
50,29,37,268
51,122,117,271
52,38,179,273
53,122,153,277
54,73,59,278
55,44,31,280
56,194,45,283
57,38,179,285
58,29,37,290
59,122,117,298
60,44,31,321
61,122,117,325
62,194,45,336
63,122,117,336
64,29,37,336
65,122,117,338
66,144,156,342
67,144,156,348
68,73,59,353
69,113,77,357
70,113,77,360
71,29,37,360
72,144,156,362
73,49,160,373
74,49,160,383
75,113,77,384
76,122,117,393
77,113,77,395
78,122,153,400
79,49,160,404
80,73,59,410
81,29,37,420
82,44,31,424
83,144,156,428
84,38,179,431
85,73,59,432
86,29,37,435
87,29,37,437
88,73,59,438
89,122,117,439
90,73,59,446
91,144,156,451
92,73,59,455
93,122,117,460
94,144,156,466
